영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
주토피아,Action Adventure Animation Comedy Crime Family Mystery,2016,4703245,661,월트디즈니컴퍼니코리아(주),,31952295.8,1025521689
엣지 오브 투모로우,Action Adventure Sci-Fi,2014,4699208,801,워너브러더스코리아(주),178000000.0,36774969.81,381055527
쿵푸 팬더,Action Adventure Animation Comedy Family Fantasy,2008,4673009,351,씨제이엔터테인먼트,130000000.0,27130061.85,632384787
신비한 동물사전,Adventure Family Fantasy,2016,4666993,1431,워너브러더스코리아(주),180000000.0,33899744.1,816037575
캐리비안의 해적 : 망자의 함,Action Adventure Fantasy,2006,4628903,129,브에나비스타인터내셔널코리아,225000000.0,26600000.0,1066179747
박물관이 살아있다!,Adventure Comedy Family Fantasy,2006,4612831,86,이십세기폭스코리아(주),,25457705.0,574482479
터미네이터 : 미래전쟁의 시작,Action Adventure Sci-Fi,2009,4568891,704,롯데쇼핑(주)롯데엔터테인먼트,200000000.0,23618115.12,371353001
맘마미아!,Comedy Musical Romance,2008,4554785,457,유니버설픽쳐스인터내셔널코리아(유),52000000.0,26741046.97,706788538
아이언맨 2,Action Sci-Fi,2010,4498335,757,씨제이엔터테인먼트,200000000.0,28680103.35,623933331
해리 포터와 죽음의 성물2,Adventure Family Fantasy Mystery,2011,4400298,757,워너브러더스코리아(주),,31141149.34,1342505340
아이언맨,Action Adventure Sci-Fi,2008,4316003,592,씨제이엔터테인먼트,140000000.0,25142197.34,585796247
엑스맨: 데이즈 오브 퓨처 패스트,Action Adventure Sci-Fi Thriller,2014,4313871,1056,이십세기폭스코리아(주),200000000.0,32904062.63,746045700
킹콩,Action Adventure Romance,2005,4232430,89,UIP코리아,207000000.0,24777357.0,556906378
가디언즈 오브 갤럭시: Volume 3,Action Adventure Comedy Sci-Fi,2023,4208993,1819,월트디즈니컴퍼니코리아유한책임회사,,34034724.01,845555777
어메이징 스파이더맨 2,Action Adventure Sci-Fi,2014,4168350,1312,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),,33107725.79,716934779
인디아나 존스 4 : 크리스탈 해골의 왕국,Action Adventure,2008,4136101,660,씨제이엔터테인먼트,185000000.0,24139508.84,786636033
미이라 3:황제의 무덤,Action Adventure Fantasy Horror,2008,4090795,527,유니버설픽쳐스인터내셔널코리아(유),145000000.0,23712907.24,403449830
다크 나이트,Action Crime Drama Thriller,2008,4087355,462,주식회사해리슨앤컴퍼니 워너브러더스코리아(주),185000000.0,24470050.56,1009057329
미션 임파서블: 데드 레코닝 PART ONE,Action Adventure Thriller,2023,4021778,2437,롯데컬처웍스(주)롯데엔터테인먼트,291000000.0,31019681.65,571125435
혹성탈출: 반격의 서막,Action Adventure Drama Sci-Fi Thriller,2014,4002560,922,이십세기폭스코리아(주),170000000.0,29922192.46,710644566
해리포터와 비밀의 방,Adventure Family Fantasy Mystery,2002,4000000,89,워너브러더스코리아(주),100000000.0,25361777.0,882767796
