"시점","구군별(1)","연령별(1)",계,남자,여자
"2022.10","사상구","65세 이상",42742,19242,23500
"2022.10","기장군","65세 이상",30976,13338,17638
"2022.11","중구","65세 이상",11543,4904,6639
"2022.11","서구","65세 이상",28470,12078,16392
"2022.11","동구","65세 이상",24492,10313,14179
"2022.11","영도구","65세 이상",32824,14012,18812
"2022.11","부산진구","65세 이상",75577,32799,42778
"2022.11","동래구","65세 이상",54775,24055,30720
"2022.11","남구","65세 이상",57018,24729,32289
"2022.11","북구","65세 이상",55651,24956,30695
"2022.11","해운대구","65세 이상",76352,33034,43318
"2022.11","사하구","65세 이상",65691,29237,36454
"2022.11","금정구","65세 이상",52071,22789,29282
"2022.11","강서구","65세 이상",18999,8979,10020
"2022.11","연제구","65세 이상",43963,19386,24577
