영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
루시,Action Sci-Fi Thriller,2014,1974893,641,유니버설픽쳐스인터내셔널코리아(유),40000000.0,14561277.0,469058574,71.12177708332271,3.1043621856915466,D (상대적 저성과)
타이타닉,Drama Romance,1998,1971780,0,월트디즈니컴퍼니코리아유한책임회사 씨네힐 이십세기폭스코리아(주),200000000.0,17287679.0,2264812968,343.40598802382084,0.763315966671911,C (글로벌 의존)
알리타: 배틀 엔젤,Action Adventure Sci-Fi Thriller,2019,1951889,1043,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),170000000.0,13619788.0,404980543,61.405840333981374,3.3630721859148673,D (상대적 저성과)
뉴 문,Adventure Drama Fantasy Romance,2009,1949027,532,(주)넥스트엔터테인먼트월드(NEW),50000000.0,12095846.0,711048123,107.81384011012882,1.701129024708782,C (글로벌 의존)
천사와 악마,Mystery Thriller,2009,1936321,558,한국소니픽쳐스릴리징브에나비스타영화(주),150000000.0,11011751.0,485930816,73.68005850260633,2.2661149771575713,D (상대적 저성과)
애나벨 : 인형의 주인,Horror Mystery Thriller,2017,1934192,1006,워너브러더스코리아(주),15000000.0,14113273.0,306592201,46.48754629737835,4.603272018651251,D (상대적 저성과)
컨저링 2,Horror Mystery Thriller,2016,1928605,635,워너브러더스코리아(주),40000000.0,13627254.0,322811702,48.9468547898924,4.221425033718264,D (상대적 저성과)
존 윅 4,Action Crime Thriller,2023,1924768,1532,(주)레드아이스엔터테인먼트,,14636986.0,447142521,67.79871953270583,3.2734498090822366,D (상대적 저성과)
터보,Adventure Animation Comedy Family Sport,2013,1923748,634,(주)씨제이이엔엠,135000000.0,11919702.0,282570682,42.84524400461437,4.2183081116674375,D (상대적 저성과)
영웅,Action Adventure Drama,2003,1910000,47,(유)조이앤시네마 코리아픽쳐스(주),31000000.0,10738310.0,177395557,26.897892842964783,6.053313950811068,B (국내 특화)
수어사이드 스쿼드,Action Adventure Fantasy Sci-Fi,2016,1898121,823,워너브러더스코리아(주),175000000.0,13725599.0,749200054,113.59868934279694,1.8320339042581009,C (글로벌 의존)
러브 액츄얼리,Comedy Drama Romance,2003,1887000,41,(주)제이앤씨미디어그룹 와이드릴리즈(주) UIP코리아 (유)조이앤시네마,40000000.0,2396419.0,250779876,38.02491080326209,0.9555866436428097,D (상대적 저성과)
퍼시 잭슨과 번개 도둑,Adventure Family Fantasy,2010,1877226,353,이십세기폭스코리아(주),95000000.0,12154920.0,226497209,34.34301151585549,5.36647672334011,B (국내 특화)
지.아이.조 2,Action Adventure Sci-Fi Thriller,2013,1855917,766,(주)씨제이이엔엠,130000000.0,13140860.0,375740705,56.97230184761641,3.497321377517509,D (상대적 저성과)
콘스탄틴,Action Fantasy Horror Mystery,2005,1845000,59,워너브러더스코리아(주),100000000.0,11761004.0,230885289,35.008361356755714,5.093873261020108,D (상대적 저성과)
007 스펙터,Action Adventure Thriller,2015,1820842,1105,유니버설픽쳐스인터내셔널코리아(유),245000000.0,12646122.0,880707597,133.53873665556918,1.4359047251411412,C (글로벌 의존)
캐치 미 이프 유 캔,Biography Crime Drama,2003,1807612,44,씨제이엔터테인먼트,52000000.0,9963084.0,352114312,53.38991118391014,2.8295027099040495,D (상대적 저성과)
작전명 발키리,Drama History Thriller War,2009,1798205,372,이십세기폭스코리아(주),75000000.0,10352399.0,201545517,30.559670213419928,5.13650670781231,D (상대적 저성과)
분노의 질주: 더 맥시멈,Action Thriller,2013,1790457,656,유니버설픽쳐스인터내셔널코리아(유),160000000.0,12001457.0,788683342,119.58540776839945,1.521707935350307,C (글로벌 의존)
저스티스 리그,Action Adventure Fantasy Sci-Fi,2017,1786386,1308,워너브러더스코리아(주),,13297786.0,661326987,100.27479115774452,2.010773227374736,C (글로벌 의존)
"아이, 로봇",Action Mystery Sci-Fi Thriller,2004,1777470,49,이십세기폭스필름코퍼레이션,120000000.0,8835733.0,353133898,53.54450758663846,2.5020914304862343,D (상대적 저성과)
분노의 질주: 라이드 오어 다이,Action Adventure Crime Mystery Thriller,2023,1773424,1731,유니버설픽쳐스인터내셔널코리아(유),,13549697.0,704875015,106.87783246540495,1.9222836264099956,C (글로벌 의존)
쿵푸팬더4,Action Adventure Animation Comedy Family Fantasy Thriller,2024,1771601,2311,유니버설픽쳐스인터내셔널코리아(유),,12127027.0,547946428,83.0832775819144,2.213177489679703,D (상대적 저성과)
벤자민 버튼의 시간은 거꾸로 간다,Drama Fantasy Romance,2009,1767051,313,(주)일레븐엔터테인먼트 워너브러더스코리아(주),150000000.0,10033993.0,335802786,50.91664924954707,2.9880612723683595,D (상대적 저성과)
수퍼맨 리턴즈,Action Adventure Sci-Fi,2006,1764758,96,워너브러더스코리아(주),270000000.0,11800000.0,391081192,59.29832839790309,3.0172762693226116,D (상대적 저성과)
나를 찾아줘,Drama Mystery Thriller,2014,1764233,658,이십세기폭스코리아(주),61000000.0,12394639.0,370890259,56.23684500216347,3.3418615612657545,D (상대적 저성과)
베놈: 라스트 댄스,Action Adventure Sci-Fi Thriller,2024,1764011,1663,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,12656686.0,478937618,72.61970336398448,2.6426585685319877,D (상대적 저성과)
걸리버 여행기,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,2011,1762070,513,이십세기폭스코리아(주),112000000.0,14944513.0,237382724,35.9935456158188,6.295535221847063,B (국내 특화)
